"organisasjonsnummer";"navn";"stiftelsesdato";"registreringsdatoEnhetsregisteret";"organisasjonsform";"hjemmeside";"registrertIFrivillighetsregisteret";"registrertIMvaregisteret";"registrertIForetaksregisteret";"registrertIStiftelsesregisteret";"frivilligRegistrertIMvaregisteret";"antallAnsatte";"institusjonellSektorkode.kode";"institusjonellSektorkode.beskrivelse";"naeringskode1.kode";"naeringskode1.beskrivelse";"naeringskode2.kode";"naeringskode2.beskrivelse";"naeringskode3.kode";"naeringskode3.beskrivelse";"postadresse.adresse";"postadresse.postnummer";"postadresse.poststed";"postadresse.kommunenummer";"postadresse.kommune";"postadresse.landkode";"postadresse.land";"forretningsadresse.adresse";"forretningsadresse.postnummer";"forretningsadresse.poststed";"forretningsadresse.kommunenummer";"forretningsadresse.kommune";"forretningsadresse.landkode";"forretningsadresse.land";"sisteInnsendteAarsregnskap";"konkurs";"underAvvikling";"underTvangsavviklingEllerTvangsopplosning";"overordnetEnhet"
990488819;"SKATTEOPPKREVEREN I NANNESTAD KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Teiealleen 31";2030;"NANNESTAD";238;"NANNESTAD";"NO";"Norge";;"N";"N";"N";
990488835;"OSLO KEMNERKONTOR";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 2 St. Olavs plass";130;"OSLO";301;"OSLO";"NO";"Norge";"RÅDHUSET";37;"OSLO";301;"OSLO";"NO";"Norge";;"N";"N";"N";
990488851;"SKATTEOPPKREVEREN I HAMAR KOMMUNE";;2007-03-19;"ADOS";"www.hamar.kommune.no";"N";"N";"N";"N";;0;;;;;;;;;"Postboks 4063";2306;"HAMAR";403;"HAMAR";"NO";"Norge";"Vangsvegen 51";2317;"HAMAR";403;"HAMAR";"NO";"Norge";;"N";"N";"N";
990488886;"SKATTEOPPKREVEREN I STANGE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Storgata 45";2335;"STANGE";417;"STANGE";"NO";"Norge";;"N";"N";"N";
990488681;"KEMNEREN I ASKER OG BÆRUM ASKER 0220";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;1304;"SANDVIKA";219;"BÆRUM";"NO";"Norge";"Otto Sverdrups plass 3";1337;"SANDVIKA";219;"BÆRUM";"NO";"Norge";;"N";"N";"N";
990488711;"SKEDSMO KEMNERKONTOR - 0227 FET";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 313";2001;"LILLESTRØM";231;"SKEDSMO";"NO";"Norge";"Jonas Lies gate 18";2000;"LILLESTRØM";231;"SKEDSMO";"NO";"Norge";;"N";"N";"N";
990488746;"LØRENSKOG KEMNERKONTOR";;2007-03-19;"ADOS";"www.lorenskog.kommune.no";"N";"N";"N";"N";;0;;;;;;;;;"Postboks 304";1471;"LØRENSKOG";230;"LØRENSKOG";"NO";"Norge";"Hasselveien";1470;"LØRENSKOG";230;"LØRENSKOG";"NO";"Norge";;"N";"N";"N";
990488762;"SKEDSMO KEMNERKONTOR- 0233 NITTEDAL";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 313";2001;"LILLESTRØM";231;"SKEDSMO";"NO";"Norge";"Jonas Lies gate 18";2000;"LILLESTRØM";231;"SKEDSMO";"NO";"Norge";;"N";"N";"N";
990488789;"SKATTEOPPKREVEREN I ULLENSAKER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 470";2051;"JESSHEIM";235;"ULLENSAKER";"NO";"Norge";"Furusethgata 12";2050;"JESSHEIM";235;"ULLENSAKER";"NO";"Norge";;"N";"N";"N";
990488800;"SKATTEOPPKREVEREN I EIDSVOLL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rådhusgata 1";2080;"EIDSVOLL";237;"EIDSVOLL";"NO";"Norge";;"N";"N";"N";
990488827;"SKATTEOPPKREVEREN I HURDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rådhuset";2090;"HURDAL";239;"HURDAL";"NO";"Norge";;"N";"N";"N";
990488843;"SKATTEOPPKREVEREN I KONGSVINGER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postmottak";2226;"KONGSVINGER";402;"KONGSVINGER";"NO";"Norge";"Rådhusplassen 2";2212;"KONGSVINGER";402;"KONGSVINGER";"NO";"Norge";;"N";"N";"N";
990488878;"SKATTEOPPKREVEREN I LØTEN KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 113";2341;"LØTEN";415;"LØTEN";"NO";"Norge";"Kildevegen 1";2340;"LØTEN";415;"LØTEN";"NO";"Norge";;"N";"N";"N";
990488894;"SKATTEOPPKREVEREN I NORD-ODAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Herredsvegen 2";2120;"SAGSTUA";418;"NORD-ODAL";"NO";"Norge";;"N";"N";"N";
990488916;"SKATTEOPPKREVEREN I EIDSKOG KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rådhusvegen 11";2230;"SKOTTERUD";420;"EIDSKOG";"NO";"Norge";;"N";"N";"N";
990488908;"SKATTEOPPKREVEREN I SØR-ODAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Øgardsvegen 2";2100;"SKARNES";419;"SØR-ODAL";"NO";"Norge";"Øgardsvegen 2";2100;"SKARNES";419;"SØR-ODAL";"NO";"Norge";;"N";"N";"N";
990488924;"SKATTEOPPKREVEREN I GRUE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;2260;"KIRKENÆR";423;"GRUE";"NO";"Norge";;"N";"N";"N";
990488940;"SKATTEOPPKREVEREN I VÅLER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;2436;"VÅLER I SOLØR";426;"VÅLER";"NO";"Norge";;"N";"N";"N";
990488967;"SKATTEOPPKREVEREN I TRYSIL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Storvegen 5";2420;"TRYSIL";428;"TRYSIL";"NO";"Norge";;"N";"N";"N";
990488983;"SKATTEOPPKREVEREN I STOR-ELVDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Storgata 120";2480;"KOPPANG";430;"STOR-ELVDAL";"NO";"Norge";;"N";"N";"N";
990489009;"SKATTEOPPKREVEREN I ENGERDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"KOMMUNEHUSET ENGER";2440;"ENGERDAL";434;"ENGERDAL";"NO";"Norge";;"N";"N";"N";
990489025;"SKATTEOPPKREVEREN I TYNSET KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Torvgata 1";2500;"TYNSET";437;"TYNSET";"NO";"Norge";;"N";"N";"N";
990489041;"SKATTEOPPKREVEREN I FOLLDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"NYBERG";2580;"FOLLDAL";439;"FOLLDAL";"NO";"Norge";;"N";"N";"N";
990489076;"SKATTEOPPKREVEREN I GJØVIK KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 630";2810;"GJØVIK";502;"GJØVIK";"NO";"Norge";"Kauffelds plass 1";2815;"GJØVIK";502;"GJØVIK";"NO";"Norge";;"N";"N";"N";
990489092;"SKATTEOPPKREVEREN I LESJA KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;2665;"LESJA";512;"LESJA";"NO";"Norge";;"N";"N";"N";
990489114;"SKATTEOPPKREVEREN I LOM KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"MIDTGARD";2686;"LOM";514;"LOM";"NO";"Norge";;"N";"N";"N";
990489157;"SKATTEOPPKREVEREN I SØR-FRON KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;2647;"SØR-FRON";519;"SØR-FRON";"NO";"Norge";;"N";"N";"N";
990489173;"SKATTEOPPKREVEREN I ØYER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Tingberg";2636;"ØYER";521;"ØYER";"NO";"Norge";;"N";"N";"N";
990488932;"SKATTEOPPKREVEREN I ÅSNES KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rådhusgata 1";2270;"FLISA";425;"ÅSNES";"NO";"Norge";;"N";"N";"N";
990488959;"SKATTEOPPKREVEREN I ELVERUM KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Lærerskolealleen 1";2408;"ELVERUM";427;"ELVERUM";"NO";"Norge";;"N";"N";"N";
990488975;"SKATTEOPPKREVEREN I ÅMOT KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rådhuset";2450;"RENA";429;"ÅMOT";"NO";"Norge";;"N";"N";"N";
990488991;"SKATTEOPPKREVEREN I RENDALEN KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"KOMMUNEHUSET";2485;"RENDALEN";432;"RENDALEN";"NO";"Norge";;"N";"N";"N";
990489017;"SKATTEOPPKREVEREN I TOLGA KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;2540;"TOLGA";436;"TOLGA";"NO";"Norge";;"N";"N";"N";
990489033;"SKATTEOPPKREVEREN I ALVDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;2560;"ALVDAL";438;"ALVDAL";"NO";"Norge";;"N";"N";"N";
990489068;"SKATTEOPPKREVEREN I LILLEHAMMER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Storgata 51";2609;"LILLEHAMMER";501;"LILLEHAMMER";"NO";"Norge";;"N";"N";"N";
990489084;"SKATTEOPPKREVEREN I DOVRE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"BÅTSTO";2662;"DOVRE";511;"DOVRE";"NO";"Norge";;"N";"N";"N";
990489106;"SKATTEOPPKREVEREN I SKJÅK KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;2690;"SKJÅK";513;"SKJÅK";"NO";"Norge";;"N";"N";"N";
990489130;"SKATTEOPPKREVEREN I NORD-FRON KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Nedregata 50";2640;"VINSTRA";516;"NORD-FRON";"NO";"Norge";;"N";"N";"N";
990489165;"SKATTEOPPKREVEREN I RINGEBU KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Hanstadgata 4";2630;"RINGEBU";520;"RINGEBU";"NO";"Norge";;"N";"N";"N";
990489181;"SKATTEOPPKREVEREN I GAUSDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Vestringsvegen 8";2651;"ØSTRE GAUSDAL";522;"GAUSDAL";"NO";"Norge";;"N";"N";"N";
990489211;"SKATTEOPPKREVEREN I JEVNAKER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Sandsvegen 1";2740;"ROA";533;"LUNNER";"NO";"Norge";;"N";"N";"N";
990489246;"SKATTEOPPKREVEREN I SØNDRELAND KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Hovsbakken 1";2860;"HOV";536;"SØNDRE LAND";"NO";"Norge";;"N";"N";"N";
990489203;"SKATTEOPPKREVEREN I VESTRE TOTEN KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rådhuset Nysethvegen 7";2830;"RAUFOSS";529;"VESTRE TOTEN";"NO";"Norge";;"N";"N";"N";
990489238;"SKATTEOPPKREVEREN I GRAN KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Sandsvegen 1";2740;"ROA";533;"LUNNER";"NO";"Norge";;"N";"N";"N";
990489254;"SKATTEOPPKREVEREN I NORDRELAND KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 173";2882;"DOKKA";538;"NORDRE LAND";"NO";"Norge";"Storgata 28";2870;"DOKKA";538;"NORDRE LAND";"NO";"Norge";;"N";"N";"N";
990489394;"SKATTEOPPKREVEREN I HEMSEDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Gamlevegen 4";3550;"GOL";617;"GOL";"NO";"Norge";;"N";"N";"N";
990489548;"SKATTEOPPKREVEREN I HOLMESTRAND KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 123";3164;"REVETAL";716;"RE";"NO";"Norge";"Regata 2";3174;"REVETAL";716;"RE";"NO";"Norge";;"N";"N";"N";
990489696;"SKATTEOPPKREVEREN I NOTODDEN KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Teatergata 3";3674;"NOTODDEN";807;"NOTODDEN";"NO";"Norge";;"N";"N";"N";
990489726;"SKATTEOPPKREVEREN I KRAGERØ KOMMUNE";;2007-03-19;"ADOS";"www.kragero.kommune.no";"N";"N";"N";"N";;0;;;;;;;;;"Postboks 128";3791;"KRAGERØ";815;"KRAGERØ";"NO";"Norge";"Rådhusgata 5";3770;"KRAGERØ";815;"KRAGERØ";"NO";"Norge";;"N";"N";"N";
990489742;"SKATTEOPPKREVEREN I NOME KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;3830;"ULEFOSS";819;"NOME";"NO";"Norge";;"N";"N";"N";
990489769;"SKATTEOPPKREVEREN I SAUHERAD KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Kommunehuset";3812;"AKKERHAUGEN";822;"SAUHERAD";"NO";"Norge";;"N";"N";"N";
990489785;"SKATTEOPPKREVJAREN I HJARTDAL";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"SAULAND";3692;"SAULAND";827;"HJARTDAL";"NO";"Norge";;"N";"N";"N";
990489807;"SKATTEOPPKREVEREN I KVITESEID KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Kviteseidgata 13";3850;"KVITESEID";829;"KVITESEID";"NO";"Norge";;"N";"N";"N";
990489823;"SKATTEOPPKREVEREN I FYRESDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Kommunehuset";3870;"FYRESDAL";831;"FYRESDAL";"NO";"Norge";;"N";"N";"N";
990489262;"SKATTEOPPKREVEREN I SØR-AURDAL KOMMUNE";;2007-03-19;"ADOS";"www.sor-aurdal.kommune.no";"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"TINGVOLL";2930;"BAGN";540;"SØR-AURDAL";"NO";"Norge";;"N";"N";"N";
990489270;"SKATTEOPPKREVEREN I ETNEDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;2890;"ETNEDAL";541;"ETNEDAL";"NO";"Norge";;"N";"N";"N";
990489289;"SKATTEOPPKREVEREN I NORD-AURDAL KOMMUNE";;2007-03-19;"ADOS";"www.nord-aurdal.kommune.no";"N";"N";"N";"N";;0;;;;;;;;;"Postboks 143";2901;"FAGERNES";542;"NORD-AURDAL";"NO";"Norge";"Rådhuset Jernbanevegen 22";2900;"FAGERNES";542;"NORD-AURDAL";"NO";"Norge";;"N";"N";"N";
990489297;"SKATTEOPPKREVJAREN I VESTRE SLIDRE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Slidretun";2966;"SLIDRE";543;"VESTRE SLIDRE";"NO";"Norge";;"N";"N";"N";
990489300;"SKATTEOPPKREVEREN I ØYSTRESLIDRE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;2940;"HEGGENES";544;"ØYSTRE SLIDRE";"NO";"Norge";;"N";"N";"N";
990489319;"SKATTEOPPKREVEREN I VANG KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;2975;"VANG I VALDRES";545;"VANG";"NO";"Norge";;"N";"N";"N";
990489327;"KEMNEREN I DRAMMEN";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Engene 1";3008;"DRAMMEN";602;"DRAMMEN";"NO";"Norge";;"N";"N";"N";
990489335;"SKATTEOPPKREVEREN I KONGSBERG KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Kirkegata 1";3616;"KONGSBERG";604;"KONGSBERG";"NO";"Norge";;"N";"N";"N";
990489343;"SKATTEOPPKREVEREN I RINGERIKE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 123, Sentrum";3502;"HØNEFOSS";605;"RINGERIKE";"NO";"Norge";"Rådhuset Osloveien 1";3511;"HØNEFOSS";605;"RINGERIKE";"NO";"Norge";;"N";"N";"N";
990489351;"SKATTEOPPKREVEREN I HOLE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 123, Sentrum";3502;"HØNEFOSS";605;"RINGERIKE";"NO";"Norge";"Viksveien 30";3530;"RØYSE";612;"HOLE";"NO";"Norge";;"N";"N";"N";
990489378;"SKATTEOPPKREVEREN I NES KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Gamlevegen 4";3550;"GOL";617;"GOL";"NO";"Norge";;"N";"N";"N";
990489386;"SKATTEOPPKREVEREN I GOL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Gamlevegen 4";3550;"GOL";617;"GOL";"NO";"Norge";;"N";"N";"N";
990489661;"SKATTEOPPKREVEREN I LARDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 123";3164;"REVETAL";716;"RE";"NO";"Norge";"Regata 2";3174;"REVETAL";716;"RE";"NO";"Norge";;"N";"N";"N";
990489408;"SKATTEOPPKREVEREN I ÅL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Gamlevegen 4";3550;"GOL";617;"GOL";"NO";"Norge";"Gamlevegen 4";3550;"GOL";617;"GOL";"NO";"Norge";;"N";"N";"N";
990489416;"SKATTEOPPKREVEREN I HOL";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Gamlevegen 4";3550;"GOL";617;"GOL";"NO";"Norge";;"N";"N";"N";
990489424;"SKATTEOPPKREVEREN I SIGDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;3350;"PRESTFOSS";621;"SIGDAL";"NO";"Norge";;"N";"N";"N";
990489432;"SKATTEOPPKREVEREN I KRØDSHERAD KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;3536;"NORESUND";622;"KRØDSHERAD";"NO";"Norge";;"N";"N";"N";
990489440;"SKATTEOPPKREVEREN I MODUM KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"RÅDHUSET";3370;"VIKERSUND";623;"MODUM";"NO";"Norge";;"N";"N";"N";
990489459;"SKATTEOPPKREVEREN I ØVREEIKER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rådhuset";3300;"HOKKSUND";624;"ØVRE EIKER";"NO";"Norge";;"N";"N";"N";
990489467;"SKATTEOPPKREVEREN I NEDREEIKER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rådhusgata 1";3050;"MJØNDALEN";625;"NEDRE EIKER";"NO";"Norge";;"N";"N";"N";
990489475;"KEMNEREN I LIER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Fosskvartalet";3403;"LIER";626;"LIER";"NO";"Norge";;"N";"N";"N";
990489483;"SKATTEOPPKREVEREN I RØYKEN KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Katrineåsveien 20";3440;"RØYKEN";627;"RØYKEN";"NO";"Norge";;"N";"N";"N";
990489491;"SKATTEOPPKREVEREN I HURUM";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Katrineåsveien 20";3440;"RØYKEN";627;"RØYKEN";"NO";"Norge";;"N";"N";"N";
990489505;"SKATTEOPPKREVEREN I FLESBERG KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;3623;"LAMPELAND";631;"FLESBERG";"NO";"Norge";;"N";"N";"N";
990489513;"SKATTEOPPKREVEREN I ROLLAG KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;3626;"ROLLAG";632;"ROLLAG";"NO";"Norge";;"N";"N";"N";
990489521;"SKATTEOPPKREVEREN I NOREOGUVDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"KOMMUNEHUSET RØDBERG";3630;"RØDBERG";633;"NORE OG UVDAL";"NO";"Norge";;"N";"N";"N";
990489580;"SKATTEOPPKREVEREN I SVELVIK KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Åsgaten 24";3060;"SVELVIK";711;"SVELVIK";"NO";"Norge";;"N";"N";"N";
990489556;"SKATTEOPPKREVEREN I TØNSBERG KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 2410";3104;"TØNSBERG";704;"TØNSBERG";"NO";"Norge";"Anton Jensens gate 8 A";3125;"TØNSBERG";704;"TØNSBERG";"NO";"Norge";;"N";"N";"N";
990489564;"SKATTEOPPKREVEREN I SANDEFJORD";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 2040";3202;"SANDEFJORD";706;"SANDEFJORD";"NO";"Norge";"Sandefjordsveien 3";3208;"SANDEFJORD";706;"SANDEFJORD";"NO";"Norge";;"N";"N";"N";
990489572;"SKATTEOPPKREVEREN I LARVIK KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 2020";3255;"LARVIK";709;"LARVIK";"NO";"Norge";"Feyers gate 7";3256;"LARVIK";709;"LARVIK";"NO";"Norge";;"N";"N";"N";
990489599;"SKATTEOPPKREVEREN I SANDE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"SANDE RÅDHUS";3070;"SANDE I VESTFOLD";713;"SANDE";"NO";"Norge";;"N";"N";"N";
990489602;"SKATTEOPPKREVEREN I HOF KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 123";3164;"REVETAL";716;"RE";"NO";"Norge";"Revetalgata 2";3174;"REVETAL";716;"RE";"NO";"Norge";;"N";"N";"N";
990489610;"SKATTEOPPKREVEREN I RE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Regata 2";3174;"REVETAL";716;"RE";"NO";"Norge";;"N";"N";"N";
990489629;"SKATTEOPPKREVEREN I ANDEBU KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Andebu Sentrum 1";3158;"ANDEBU";719;"ANDEBU";"NO";"Norge";;"N";"N";"N";
990489637;"SKATTEOPPKREVEREN I STOKKE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 123";3164;"REVETAL";716;"RE";"NO";"Norge";"Regata 2";3174;"REVETAL";716;"RE";"NO";"Norge";;"N";"N";"N";
990489645;"SKATTEOPPKREVEREN I NØTTERØY KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rødsgata 36";3145;"TJØME";723;"TJØME";"NO";"Norge";;"N";"N";"N";
990489653;"SKATTEOPPKREVEREN I TJØME KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Rødsgata 36";3145;"TJØME";723;"TJØME";"NO";"Norge";;"N";"N";"N";
990489688;"KEMNEREN I SKIEN";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 360";3701;"SKIEN";806;"SKIEN";"NO";"Norge";"1. etg Kongens gate 31";3717;"SKIEN";806;"SKIEN";"NO";"Norge";;"N";"N";"N";
990489718;"SKATTEOPPKREVEREN I BAMBLE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 80";3993;"LANGESUND";814;"BAMBLE";"NO";"Norge";"Kirkeveien 12";3970;"LANGESUND";814;"BAMBLE";"NO";"Norge";;"N";"N";"N";
990489734;"SKATTEOPPKREVEREN I DRANGEDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Gudbrandsveien 7";3750;"DRANGEDAL";817;"DRANGEDAL";"NO";"Norge";;"N";"N";"N";
990489750;"SKATTEOPPKREVEREN I BØ KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Bøgata 67";3800;"BØ I TELEMARK";821;"BØ";"NO";"Norge";;"N";"N";"N";
990489777;"KEMNEREN I TINN";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 14";3661;"RJUKAN";826;"TINN";"NO";"Norge";"Sam Eydes gate 57";3660;"RJUKAN";826;"TINN";"NO";"Norge";;"N";"N";"N";
990489793;"SKATTEOPPKREVEREN I SELJORD KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;3840;"SELJORD";828;"SELJORD";"NO";"Norge";;"N";"N";"N";
990489815;"SKATTEOPPKREVEREN I NISSEDAL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;3855;"TREUNGEN";830;"NISSEDAL";"NO";"Norge";;"N";"N";"N";
